,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
1086,14,10.0,366.3019874135392,2019-01-06 14:00:00,2019-01-06,Sunday,0,4.3,0.4,7.214229512820514,386.2951173498535
1087,15,3.767013549804688e-05,359.43050497562564,2019-01-06 15:00:00,2019-01-06,Sunday,0,4.3,0.4,7.133589743589742,346.4576254009451
1088,16,0.0,295.89895406071065,2019-01-06 16:00:00,2019-01-06,Sunday,0,4.3,0.4,5.554230756410253,311.6734067175385
1089,17,0.0,163.00841089284856,2019-01-06 17:00:00,2019-01-06,Sunday,0,4.3,0.4,7.786860256410253,176.40679530829794
1090,8,9.999999046325684,62.23679676942475,2019-01-07 08:00:00,2019-01-07,Monday,0,4.3,3.79,5.949807653846152,71.36077377681498
1091,9,0.0,161.70021507859272,2019-01-07 09:00:00,2019-01-07,Monday,0,4.3,3.79,11.048076935897436,123.43492022746256
1092,10,10.0,136.92251788616363,2019-01-07 10:00:00,2019-01-07,Monday,0,4.3,3.79,20.65320498717949,97.24009964423614
1093,11,0.9819135665893556,299.32370519077614,2019-01-07 11:00:00,2019-01-07,Monday,0,4.3,3.79,27.247948717948717,172.78195036281681
1094,12,10.0,93.99116110908074,2019-01-07 12:00:00,2019-01-07,Monday,0,4.3,3.79,28.968846038461532,210.57467621932133
1095,13,9.9999418258667,236.251431804678,2019-01-07 13:00:00,2019-01-07,Monday,0,4.3,3.79,26.78608985897436,206.10227459570504
1096,14,10.0,426.7166376376369,2019-01-07 14:00:00,2019-01-07,Monday,0,4.3,3.79,26.64153858974359,353.91947686812586
1097,15,10.0,357.884156852738,2019-01-07 15:00:00,2019-01-07,Monday,0,4.3,3.79,27.686538461538454,377.9152446038761
1098,16,0.0,350.8059305896096,2019-01-07 16:00:00,2019-01-07,Monday,0,4.3,3.79,29.074935897435893,266.96811643311474
1099,17,0.0,197.3964353847587,2019-01-07 17:00:00,2019-01-07,Monday,0,4.3,3.79,30.39,151.8616583156199
1100,8,10.0,60.44444442915015,2019-01-08 08:00:00,2019-01-08,Tuesday,0,4.3,3.79,9.958076923076923,50.47790081948588
1101,9,0.0,160.06215861746202,2019-01-08 09:00:00,2019-01-08,Tuesday,0,4.3,3.79,14.314487166666664,116.23650662911928
1102,10,10.0,131.6571951749105,2019-01-08 10:00:00,2019-01-08,Tuesday,0,4.3,3.79,32.51307691025641,96.69820283535627
1103,11,9.993770599365234,150.6530796655941,2019-01-08 11:00:00,2019-01-08,Tuesday,0,4.3,3.79,30.210126666666664,199.60650336515747
1104,12,9.99984359741211,96.50445862464136,2019-01-08 12:00:00,2019-01-08,Tuesday,0,4.3,3.79,33.25846307692308,113.64835733693678
1105,13,10.0,214.66582757695068,2019-01-08 13:00:00,2019-01-08,Tuesday,0,4.3,3.79,28.521539615384626,253.56992555028526
1106,14,10.0,371.63372866707846,2019-01-08 14:00:00,2019-01-08,Tuesday,0,4.3,3.79,28.508714230769233,338.41028225546887
1107,15,10.0,321.6653179654565,2019-01-08 15:00:00,2019-01-08,Tuesday,0,4.3,3.79,34.019105,333.42670876492735
1108,16,0.0,335.13382023634085,2019-01-08 16:00:00,2019-01-08,Tuesday,0,4.3,3.79,32.231666794871806,261.1109989786665
1109,17,0.0,190.43920418604424,2019-01-08 17:00:00,2019-01-08,Tuesday,0,4.3,3.79,32.26346153846155,152.87621626590342
1110,8,9.934225082397461,55.424705013636704,2019-01-09 08:00:00,2019-01-09,Wednesday,0,4.3,3.79,10.682692269358972,73.29656280731075
1111,9,0.0,103.4744866729504,2019-01-09 09:00:00,2019-01-09,Wednesday,0,4.3,3.79,13.772820499999998,143.08182135036915
1112,10,10.0,91.91310790149107,2019-01-09 10:00:00,2019-01-09,Wednesday,0,4.3,3.79,23.574230782051288,109.24342567014743
1113,11,1.6737079620361328,229.8457257529119,2019-01-09 11:00:00,2019-01-09,Wednesday,0,4.3,3.79,28.29641039743591,208.44130815585385
1114,12,0.07847213745117188,207.19748906584329,2019-01-09 12:00:00,2019-01-09,Wednesday,0,4.3,3.79,27.88987164102565,228.0406303955053
1115,13,0.0003485679626464844,296.6395611887463,2019-01-09 13:00:00,2019-01-09,Wednesday,0,4.3,3.79,30.10294885897436,246.8078901662347
1116,14,10.0,362.9970954676798,2019-01-09 14:00:00,2019-01-09,Wednesday,0,4.3,3.79,28.945896025641037,384.24121217307237
1117,15,0.0,399.30927441530645,2019-01-09 15:00:00,2019-01-09,Wednesday,0,4.3,3.79,30.78487307692308,334.4357408263627
1118,16,0.0,251.16157405951958,2019-01-09 16:00:00,2019-01-09,Wednesday,0,4.3,3.79,28.57807692307692,293.1084750220436
1119,17,0.0,154.2556151746342,2019-01-09 17:00:00,2019-01-09,Wednesday,0,4.3,3.79,33.72666666666667,171.25311164262675
1120,8,0.004261493682861328,89.69323293167025,2019-01-10 08:00:00,2019-01-10,Thursday,0,4.3,3.79,8.531474358974357,55.95628180872154
1121,9,0.0,174.87362431133403,2019-01-10 09:00:00,2019-01-10,Thursday,0,4.3,3.79,11.331923076923074,115.77820527470764
1122,10,10.0,128.8152925036143,2019-01-10 10:00:00,2019-01-10,Thursday,0,4.3,3.79,26.189486910256413,94.65936296456806
1123,11,3.722975254058838,275.29364675623947,2019-01-10 11:00:00,2019-01-10,Thursday,0,4.3,3.79,29.64820411525641,130.9683734185169
1124,12,9.999185562133787,103.09033907329548,2019-01-10 12:00:00,2019-01-10,Thursday,0,4.3,3.79,29.592628205128197,105.51017950004315
1125,13,10.0,231.23680446398757,2019-01-10 13:00:00,2019-01-10,Thursday,0,4.3,3.79,30.13596256410257,202.49598014418643
1126,14,10.0,483.4612504999284,2019-01-10 14:00:00,2019-01-10,Thursday,0,4.3,3.79,30.004745256410256,329.5655747372776
1127,15,4.482269287109375e-05,499.3619723090789,2019-01-10 15:00:00,2019-01-10,Thursday,0,4.3,3.79,34.311729487307694,322.2382176909327
1128,16,0.0,380.3076865066275,2019-01-10 16:00:00,2019-01-10,Thursday,0,4.3,3.79,31.939422948717947,256.09361395017083
