Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
11,0.0020542144775390625,239.0932512117891,2021-04-10 11:00:00,2021-04-10,Saturday,0,2.53,1.98,7.012564089743587,269.8314068459603
12,0.04886865615844727,188.5793423812873,2021-04-10 12:00:00,2021-04-10,Saturday,0,2.53,1.98,10.323203846153847,151.56819291801966
13,10.0,169.93383616029288,2021-04-10 13:00:00,2021-04-10,Saturday,0,2.53,1.98,8.487565384615385,289.909037566221
14,7.149367332458496,373.40789534598366,2021-04-10 14:00:00,2021-04-10,Saturday,0,2.53,1.98,10.878719089743589,430.5347216771649
15,4.76837158203125e-07,360.4048582022058,2021-04-10 15:00:00,2021-04-10,Saturday,0,2.53,1.98,10.176409115384617,374.93632815722896
16,0.0,241.9290925033901,2021-04-10 16:00:00,2021-04-10,Saturday,0,2.53,1.98,11.0275641025641,305.59235457833023
17,1.7176234722137451,115.4399746978653,2021-04-10 17:00:00,2021-04-10,Saturday,0,2.53,1.98,11.056923076923082,128.73252193681833
8,1.784416437149048,87.62179366269318,2021-04-11 08:00:00,2021-04-11,Sunday,0,2.53,1.98,6.526794897435898,77.01267004002584
9,0.0,173.04352198233713,2021-04-11 09:00:00,2021-04-11,Sunday,0,2.53,1.98,6.171538461538463,133.4663688002691
10,10.0,130.683687618041,2021-04-11 10:00:00,2021-04-11,Sunday,0,2.53,1.98,6.655641012820514,104.55102749848953
11,0.7643990516662598,315.98856887525454,2021-04-11 11:00:00,2021-04-11,Sunday,0,2.53,1.98,6.773974371794874,220.3800267945368
12,0.0,258.3820574653729,2021-04-11 12:00:00,2021-04-11,Sunday,0,2.53,1.98,7.644743602564103,168.32523372899848
13,4.76837158203125e-07,391.61474928285105,2021-04-11 13:00:00,2021-04-11,Sunday,0,2.53,1.98,7.025129461538459,272.11181302341214
14,10.0,447.98458702060435,2021-04-11 14:00:00,2021-04-11,Sunday,0,2.53,1.98,7.214229512820514,399.07063474924365
15,10.0,324.5186687165551,2021-04-11 15:00:00,2021-04-11,Sunday,0,2.53,1.98,7.133589743589742,313.5787292893131
16,0.0,351.501385236358,2021-04-11 16:00:00,2021-04-11,Sunday,0,2.53,1.98,5.554230756410253,266.0607589437491
17,10.0,102.82639678682679,2021-04-11 17:00:00,2021-04-11,Sunday,0,2.53,1.98,7.786860256410253,153.63853620699908
8,6.71272611618042,66.68262995486518,2021-04-12 08:00:00,2021-04-12,Monday,0,2.53,3.94,5.949807653846153,70.62062012564313
9,0.0,139.26082734031385,2021-04-12 09:00:00,2021-04-12,Monday,0,2.53,3.94,11.048076935897436,130.60780771843554
10,10.0,116.34767277330599,2021-04-12 10:00:00,2021-04-12,Monday,0,2.53,3.94,20.65320498717949,104.79030515809932
11,0.018009662628173828,291.88214484734874,2021-04-12 11:00:00,2021-04-12,Monday,0,2.53,3.94,27.24794871794872,255.0011618675462
12,0.0,236.4273278533394,2021-04-12 12:00:00,2021-04-12,Monday,0,2.53,3.94,28.968846038461535,164.5028461428999
13,9.985563278198242,194.22798533013676,2021-04-12 13:00:00,2021-04-12,Monday,0,2.53,3.94,26.78608985897436,228.57071348825318
14,1.9812133312225344,397.10004645222256,2021-04-12 14:00:00,2021-04-12,Monday,0,2.53,3.94,26.64153858974359,376.3865585904896
15,10.0,291.1062617850536,2021-04-12 15:00:00,2021-04-12,Monday,0,2.53,3.94,27.686538461538458,306.4486089544953
16,0.0,306.9944969436254,2021-04-12 16:00:00,2021-04-12,Monday,0,2.53,3.94,29.074935897435896,264.39296999624963
17,9.75483512878418,86.525482891044,2021-04-12 17:00:00,2021-04-12,Monday,0,2.53,3.94,30.389999999999997,132.43444564805154
8,0.31865501403808594,74.83617848756563,2021-04-13 08:00:00,2021-04-13,Tuesday,0,2.53,3.94,9.958076923076925,84.21338767959527
9,0.0,151.5283066667252,2021-04-13 09:00:00,2021-04-13,Tuesday,0,2.53,3.94,14.314487166666666,165.58798417182362
10,10.0,120.92835332424599,2021-04-13 10:00:00,2021-04-13,Tuesday,0,2.53,3.94,32.51307691025641,128.437341818929
11,8.118518829345701,177.09758500811176,2021-04-13 11:00:00,2021-04-13,Tuesday,0,2.53,3.94,30.210126666666664,273.8198074040857
12,0.0413670539855957,247.26015880335197,2021-04-13 12:00:00,2021-04-13,Tuesday,0,2.53,3.94,33.25846307692308,211.87152786010157
13,0.5600600242614746,328.3663410317971,2021-04-13 13:00:00,2021-04-13,Tuesday,0,2.53,3.94,28.521539615384626,272.78259575097997
14,0.0,428.85591331151113,2021-04-13 14:00:00,2021-04-13,Tuesday,0,2.53,3.94,28.508714230769233,426.07623062627835
15,10.0,288.6720653417618,2021-04-13 15:00:00,2021-04-13,Tuesday,0,2.53,3.94,34.019104999999996,363.795201819047
16,0.0,304.40874104058,2021-04-13 16:00:00,2021-04-13,Tuesday,0,2.53,3.94,32.231666794871806,332.24041997335786
17,10.0,81.56875537478683,2021-04-13 17:00:00,2021-04-13,Tuesday,0,2.53,3.94,32.26346153846155,114.53630661490126
8,3.997825145721436,104.2285684737185,2021-04-14 08:00:00,2021-04-14,Wednesday,0,2.53,3.94,10.682692269358972,74.10735451367891
9,0.0,158.77129041647402,2021-04-14 09:00:00,2021-04-14,Wednesday,0,2.53,3.94,13.7728205,121.14253002736437
10,10.0,139.7311747921906,2021-04-14 10:00:00,2021-04-14,Wednesday,0,2.53,3.94,23.574230782051284,97.07885345301044
11,0.2762775421142578,319.72637734766516,2021-04-14 11:00:00,2021-04-14,Wednesday,0,2.53,3.94,28.296410397435903,211.32197716995475
12,0.0,253.6706294667438,2021-04-14 12:00:00,2021-04-14,Wednesday,0,2.53,3.94,27.889871641025646,162.9243696276599
13,4.959357738494873,296.7025975745926,2021-04-14 13:00:00,2021-04-14,Wednesday,0,2.53,3.94,30.102948858974358,203.55709478896372
14,0.0,528.5718147281831,2021-04-14 14:00:00,2021-04-14,Wednesday,0,2.53,3.94,28.945896025641034,359.2594695975783
15,0.0,500.4444333547435,2021-04-14 15:00:00,2021-04-14,Wednesday,0,2.53,3.94,30.784873076923077,323.1013451293413
16,0.0,323.12022824283235,2021-04-14 16:00:00,2021-04-14,Wednesday,0,2.53,3.94,28.578076923076917,260.5880845977438
17,2.47955322265625e-05,200.71142792958426,2021-04-14 17:00:00,2021-04-14,Wednesday,0,2.53,3.94,33.72666666666667,122.49686532761598
8,3.311195611953736,54.592483783905564,2021-04-15 08:00:00,2021-04-15,Thursday,0,2.53,3.94,8.531474358974357,92.7646845616916
9,0.0,95.06212135774027,2021-04-15 09:00:00,2021-04-15,Thursday,0,2.53,3.94,11.331923076923076,158.02722835256918
10,10.0,73.20925706736142,2021-04-15 10:00:00,2021-04-15,Thursday,0,2.53,3.94,26.189486910256417,123.65207183402167
11,0.2273159027099609,207.3653079292929,2021-04-15 11:00:00,2021-04-15,Thursday,0,2.53,3.94,29.64820411525641,254.13522971521755
12,0.0,180.67887970721605,2021-04-15 12:00:00,2021-04-15,Thursday,0,2.53,3.94,29.592628205128197,149.0958900244786
13,0.005822181701660156,272.4017923467602,2021-04-15 13:00:00,2021-04-15,Thursday,0,2.53,3.94,30.13596256410257,313.55429231054734
14,0.0,370.6450322144161,2021-04-15 14:00:00,2021-04-15,Thursday,0,2.53,3.94,30.004745256410256,433.9699376955782
15,9.999825477600098,236.40528475179477,2021-04-15 15:00:00,2021-04-15,Thursday,0,2.53,3.94,34.311729487307694,309.6578951939903
16,0.0,233.26597708326335,2021-04-15 16:00:00,2021-04-15,Thursday,0,2.53,3.94,31.939422948717947,312.01724158018965
17,0.0016112327575683596,118.56587907765531,2021-04-15 17:00:00,2021-04-15,Thursday,0,2.53,3.94,30.698589743589746,126.62671113847023
8,5.196315288543701,85.14203092673401,2021-04-16 08:00:00,2021-04-16,Friday,0,2.53,3.94,7.930641000000001,38.311825974336614
9,0.0,139.55480406122902,2021-04-16 09:00:00,2021-04-16,Friday,0,2.53,3.94,10.78589743602564,75.80899640607582
10,10.0,118.9065302742158,2021-04-16 10:00:00,2021-04-16,Friday,0,2.53,3.94,18.938846153846153,49.96175102378666
11,1.3460512161254885,261.92353951273276,2021-04-16 11:00:00,2021-04-16,Friday,0,2.53,3.94,22.847948717948714,108.05213057961286
12,9.643171310424805,96.97164611202969,2021-04-16 12:00:00,2021-04-16,Friday,0,2.53,3.94,26.524358974358975,119.0588076557777
13,10.0,202.50219570371522,2021-04-16 13:00:00,2021-04-16,Friday,0,2.53,3.94,24.315000012820516,134.66864475655214
14,2.6603779792785645,430.18810890005574,2021-04-16 14:00:00,2021-04-16,Friday,0,2.53,3.94,25.474807807692304,232.7002721430482
15,0.0,427.8196898358221,2021-04-16 15:00:00,2021-04-16,Friday,0,2.53,3.94,26.893204987179484,159.72757762565067
16,0.0,312.0462117851707,2021-04-16 16:00:00,2021-04-16,Friday,0,2.53,3.94,26.57064103846153,152.64066379285075
17,0.27712297439575195,178.2334109183293,2021-04-16 17:00:00,2021-04-16,Friday,0,2.53,3.94,26.405970256410257,77.03339086266304
8,0.5733833312988281,66.90795092242436,2021-04-17 08:00:00,2021-04-17,Saturday,0,2.53,3.94,6.5605127821794875,76.28832013456842
9,0.0,126.77078120029329,2021-04-17 09:00:00,2021-04-17,Saturday,0,2.53,3.94,6.4612820769230765,127.07590590401888
10,10.0,89.67841809804597,2021-04-17 10:00:00,2021-04-17,Saturday,0,2.53,3.94,6.5220512948717975,91.66932675601555
11,0.19823026657104487,245.56234618068174,2021-04-17 11:00:00,2021-04-17,Saturday,0,2.53,3.94,7.012564089743587,230.17501930976456
12,0.4504580497741699,197.57004493688115,2021-04-17 12:00:00,2021-04-17,Saturday,0,2.53,3.94,10.323203846153847,113.79876761570857
13,0.015960216522216797,294.10579336401827,2021-04-17 13:00:00,2021-04-17,Saturday,0,2.53,3.94,8.487565384615385,202.8703507714324
14,0.06324577331542969,396.60633686786883,2021-04-17 14:00:00,2021-04-17,Saturday,0,2.53,3.94,10.878719089743589,373.17490361416634
15,9.962363243103027,268.12690260586754,2021-04-17 15:00:00,2021-04-17,Saturday,0,2.53,3.94,10.176409115384617,371.02221283364156
16,0.0,255.7508431460477,2021-04-17 16:00:00,2021-04-17,Saturday,0,2.53,3.94,11.0275641025641,257.9949339633812
17,8.402246475219728,68.09293553354809,2021-04-17 17:00:00,2021-04-17,Saturday,0,2.53,3.94,11.056923076923082,122.7458223479183
8,5.450547695159912,69.59052962577402,2021-04-18 08:00:00,2021-04-18,Sunday,0,2.53,3.94,6.526794897435898,80.95029740653489
9,0.0,143.67976627380386,2021-04-18 09:00:00,2021-04-18,Sunday,0,2.53,3.94,6.171538461538463,148.5439690098986
10,10.0,105.31383230053528,2021-04-18 10:00:00,2021-04-18,Sunday,0,2.53,3.94,6.655641012820514,117.55751108097895
11,0.010764122009277344,274.94576537166074,2021-04-18 11:00:00,2021-04-18,Sunday,0,2.53,3.94,6.773974371794874,246.1511623132619
12,7.486343383789062e-05,230.3822481256185,2021-04-18 12:00:00,2021-04-18,Sunday,0,2.53,3.94,7.644743602564103,187.10293545379957
13,10.0,183.49478205634952,2021-04-18 13:00:00,2021-04-18,Sunday,0,2.53,3.94,7.025129461538459,305.77011287527534
14,2.384185791015625e-06,424.4775197220515,2021-04-18 14:00:00,2021-04-18,Sunday,0,2.53,3.94,7.214229512820514,419.06705864671784
15,9.999990463256836,274.7171166740628,2021-04-18 15:00:00,2021-04-18,Sunday,0,2.53,3.94,7.133589743589742,341.85658240434526
16,0.0,300.6228037889556,2021-04-18 16:00:00,2021-04-18,Sunday,0,2.53,3.94,5.554230756410253,298.67419696762784
17,4.76837158203125e-07,156.86545030743702,2021-04-18 17:00:00,2021-04-18,Sunday,0,2.53,3.94,7.786860256410253,136.9918557564403
8,0.09863948822021484,97.95078846777537,2021-04-19 08:00:00,2021-04-19,Monday,0,2.53,4.48,5.949807653846153,70.62890400449952
9,0.0,172.4905232583967,2021-04-19 09:00:00,2021-04-19,Monday,0,2.53,4.48,11.048076935897436,128.24900374087943
10,10.0,126.33369874357453,2021-04-19 10:00:00,2021-04-19,Monday,0,2.53,4.48,20.65320498717949,106.4829933346881
11,5.378060817718506,235.7881532494822,2021-04-19 11:00:00,2021-04-19,Monday,0,2.53,4.48,27.24794871794872,253.478369536047
12,1.430511474609375e-06,275.1881846824174,2021-04-19 12:00:00,2021-04-19,Monday,0,2.53,4.48,28.968846038461535,167.71077070200704
13,0.0006566047668457031,381.3859982557904,2021-04-19 13:00:00,2021-04-19,Monday,0,2.53,4.48,26.78608985897436,221.14430693626676
14,8.167994499206543,476.72049795642823,2021-04-19 14:00:00,2021-04-19,Monday,0,2.53,4.48,26.64153858974359,359.8773944448988
15,0.3204483985900879,486.0317588736939,2021-04-19 15:00:00,2021-04-19,Monday,0,2.53,4.48,27.686538461538458,254.86265353274624
16,0.0,344.11858172927015,2021-04-19 16:00:00,2021-04-19,Monday,0,2.53,4.48,29.074935897435896,264.2719295770796
17,0.0,204.7262588941407,2021-04-19 17:00:00,2021-04-19,Monday,0,2.53,4.48,30.389999999999997,131.88922540590536
8,0.5935487747192383,60.668724573343844,2021-04-20 08:00:00,2021-04-20,Tuesday,0,2.53,4.48,9.958076923076925,86.7579836580522
9,0.0,106.95590987216852,2021-04-20 09:00:00,2021-04-20,Tuesday,0,2.53,4.48,14.314487166666666,172.12225706270223
10,10.0,86.95471836327839,2021-04-20 10:00:00,2021-04-20,Tuesday,0,2.53,4.48,32.51307691025641,139.60464887730095
11,1.2633826732635498,203.23963606328664,2021-04-20 11:00:00,2021-04-20,Tuesday,0,2.53,4.48,30.210126666666664,255.8224836828507
12,9.999982833862305,73.16037627373777,2021-04-20 12:00:00,2021-04-20,Tuesday,0,2.53,4.48,33.25846307692308,223.84871740567587
13,8.58306884765625e-06,278.6143287118573,2021-04-20 13:00:00,2021-04-20,Tuesday,0,2.53,4.48,28.521539615384626,325.5940573124204
14,9.974235534667967,335.93330471924025,2021-04-20 14:00:00,2021-04-20,Tuesday,0,2.53,4.48,28.508714230769233,434.2019078360377
15,0.0016875267028808596,346.4919303580432,2021-04-20 15:00:00,2021-04-20,Tuesday,0,2.53,4.48,34.019104999999996,327.27347557948286
